tweet_id,favorite_count,retweet_count,date_time
705591895322394625,3406,1274,2016-03-04 03:13:11
705786532653883392,2093,585,2016-03-04 16:06:36
705898680587526145,2543,626,2016-03-04 23:32:15
705970349788291072,3369,983,2016-03-05 04:17:02
705975130514706432,3331,817,2016-03-05 04:36:02
706166467411222528,5520,1771,2016-03-05 17:16:20
706265994973601792,2919,1007,2016-03-05 23:51:49
706291001778950144,1822,513,2016-03-06 01:31:11
706310011488698368,23041,8798,2016-03-06 02:46:44
706346369204748288,3697,1013,2016-03-06 05:11:12
706516534877929472,3331,1134,2016-03-06 16:27:23
706538006853918722,3709,1546,2016-03-06 17:52:42
706593038911545345,2314,693,2016-03-06 21:31:22
706644897839910912,2767,1203,2016-03-07 00:57:27
706681918348251136,3558,1067,2016-03-07 03:24:33
706901761596989440,2218,664,2016-03-07 17:58:08
707014260413456384,2463,650,2016-03-08 01:25:10
707021089608753152,4351,1511,2016-03-08 01:52:18
707038192327901184,2361,882,2016-03-08 03:00:15
707059547140169728,2755,745,2016-03-08 04:25:07
707297311098011648,2955,883,2016-03-08 20:09:54
707315916783140866,2647,706,2016-03-08 21:23:50
707377100785885184,3523,1184,2016-03-09 01:26:57
707387676719185920,3765,1440,2016-03-09 02:08:59
707411934438625280,2440,659,2016-03-09 03:45:22
707420581654872064,2444,772,2016-03-09 04:19:44
707610948723478529,18221,7075,2016-03-09 16:56:11
707693576495472641,3670,1101,2016-03-09 22:24:31
707741517457260545,2669,675,2016-03-10 01:35:01
707776935007539200,3520,1044,2016-03-10 03:55:45
707969809498152960,2890,1068,2016-03-10 16:42:10
707995814724026368,3325,1234,2016-03-10 18:25:30
708026248782585858,4682,2114,2016-03-10 20:26:26
708109389455101952,2078,593,2016-03-11 01:56:49
708119489313951744,2881,1075,2016-03-11 02:36:57
708130923141795840,3636,923,2016-03-11 03:22:23
708149363256774660,4571,1687,2016-03-11 04:35:39
708349470027751425,2525,811,2016-03-11 17:50:48
708356463048204288,3872,1486,2016-03-11 18:18:36
708469915515297792,3296,899,2016-03-12 01:49:25
708479650088034305,2727,747,2016-03-12 02:28:06
708711088997666817,2729,805,2016-03-12 17:47:45
708738143638450176,2937,895,2016-03-12 19:35:15
708810915978854401,17707,7649,2016-03-13 00:24:26
708834316713893888,1823,553,2016-03-13 01:57:25
708845821941387268,3175,986,2016-03-13 02:43:08
709042156699303936,5114,1811,2016-03-13 15:43:18
709158332880297985,2191,456,2016-03-13 23:24:56
709198395643068416,2583,704,2016-03-14 02:04:08
709207347839836162,13515,6415,2016-03-14 02:39:42
709225125749587968,2569,631,2016-03-14 03:50:21
709409458133323776,2804,765,2016-03-14 16:02:49
709449600415961088,2382,652,2016-03-14 18:42:20
709519240576036864,1592,265,2016-03-14 23:19:03
709556954897764353,3521,1172,2016-03-15 01:48:55
709566166965075968,3781,1334,2016-03-15 02:25:31
709852847387627521,3758,1312,2016-03-15 21:24:41
709901256215666688,718,109,2016-03-16 00:37:03
709918798883774466,3195,1185,2016-03-16 01:46:45
710117014656950272,5899,2195,2016-03-16 14:54:24
710140971284037632,2964,983,2016-03-16 16:29:35
710153181850935296,3108,976,2016-03-16 17:18:07
710269109699739648,2572,1234,2016-03-17 00:58:46
710272297844797440,4847,1383,2016-03-17 01:11:26
710283270106132480,2274,568,2016-03-17 01:55:02
710588934686908417,4887,2057,2016-03-17 22:09:38
710658690886586372,2469,622,2016-03-18 02:46:49
